"id","keyword","role_id","weight"
"1","reservoir","2","1"
"2","elephant","2","1"
"3","stored","2","5"
"4","surface","2","5"
"5","release","2","5"
"6","caballo","2","1"
"7","allocation","2","5"
"8","irrigation","2","5"
"9","district","2","1"
"10","project","2","1"
"11","operating","2","1"
"12","full","2","1"
"13","aquifer","2","5"
"14","pumped","2","1"
"15","mesilla","2","1"
"16","hueco","2","1"
"17","shallow","2","1"
"18","intermediate","2","1"
"19","depth","2","5"
"20","consumptive","2","1"
"21","recharge","2","1"
"22","point","2","1"
"23","river","2","1"
"24","flowed","2","1"
"25","passed","2","1"
"26","crop","2","1"
"27","agriculture","2","5"
"28","urban","2","5"
"29","charge","2","5"
"30","natural","2","1"
"31","habitat","2","5"
"32","restoration","2","1"
"33","region","2","5"
"34","economic","2","1"
"35","recreation","2","5"
"36","fishing","2","1"
"37","boating","2","1"
"38","rainfall","2","5"
"39","coverage","2","1"
"40","production","2","1"
"41","alternative","2","5"
"42","desalination","2","1"
"43","technology","2","5"
"44","importation","2","5"
"45","income","2","5"
"46","generated","2","5"
"47","cost","2","5"
"48","consumption","2","1"
"49","consumed","2","1"
"50","agricultural","2","1"
"51","consumption","2","1"
"52","released","2","5"
"53","storage","2","5"
"54","reservoir","3","1"
"55","elephant","3","1"
"56","stored","3","5"
"57","surface","3","5"
"58","release","3","5"
"59","caballo","3","1"
"60","allocation","3","5"
"61","irrigation","3","5"
"62","district","3","1"
"63","aquifer","3","5"
"64","pumped","3","1"
"65","mesilla","3","1"
"66","hueco","3","1"
"67","shallow","3","1"
"68","intermediate","3","1"
"69","depth","3","5"
"70","consumptive","3","1"
"71","recharge","3","1"
"72","economic","3","1"
"73","generated","3","1"
"74","agriculture","3","5"
"75","area","3","1"
"76","coverage","3","1"
"77","crop","3","5"
"78","production","3","1"
"79","storage","3","5"
"80","released","3","5"
"81","consumption","3","1"
"82","consumed","3","1"
"83","agricultural","3","1"
"84","urban","4","5"
"85","alternative","4","5"
"86","desalination","4","1"
"87","technology","4","1"
"88","aquifer","4","5"
"89","hueco","4","1"
"90","mesilla","4","1"
"91","depth","4","1"
"92","groundwater","4","1"
"93","consumptive","4","1"
"94","reservoir","4","1"
"95","elephant","4","1"
"96","caballo","4","1"
"97","release","4","1"
"98","boating","4","1"
"99","recreation","4","1"
"100","fishing","4","1"
"101","habitat","4","1"
"102","maintenance","4","1"
"103","restoration","4","1"
"104","sector","4","5"
"105","region","4","1"
"106","economic","4","5"
"107","generated","4","1"
"108","cost","4","5"
"109","charge","4","1"
"110","pay","4","5"
"111","consumption","4","1"
"112","household","4","5"
"113","revenue","4","1"
"114","released","4","1"
"115","charged","4","1"
"116","consumed","4","1"
"117","aquifer","5","5"
"118","hueco","5","1"
"119","mesilla","5","1"
"120","depth","5","1"
"121","groundwater","5","1"
"122","storage","5","1"
"123","reservoir","5","1"
"124","elephant","5","1"
"125","caballo","5","1"
"126","release","5","1"
"127","river","5","1"
"128","flow","5","1"
"129","habitat","5","1"
"130","maintenance","5","1"
"131","restoration","5","1"
"132","sector","5","1"
"133","region","5","1"
"134","economic","5","1"
"135","generated","5","1"
"136","stored","5","1"
"137","released","5","1"
"138","flowed","5","1"
"139","aquifer","6","5"
"140","hueco","6","1"
"141","mesilla","6","1"
"142","depth","6","1"
"143","groundwater","6","1"
"144","storage","6","1"
"145","reservoir","6","1"
"146","elephant","6","1"
"147","caballo","6","1"
"148","release","6","1"
"149","river","6","1"
"150","flow","6","1"
"151","habitat","6","1"
"152","maintenance","6","1"
"153","restoration","6","1"
"154","sector","6","1"
"155","region","6","1"
"156","economic","6","1"
"157","generated","6","1"
"158","reservoir","8","1"
"159","elephant","8","1"
"160","stored","8","5"
"161","surface","8","5"
"162","release","8","5"
"163","caballo","8","1"
"164","allocation","8","5"
"165","irrigation","8","5"
"166","district","8","1"
"167","aquifer","8","5"
"168","pumped","8","1"
"169","mesilla","8","1"
"170","hueco","8","1"
"171","shallow","8","1"
"172","intermediate","8","1"
"173","depth","8","5"
"174","consumptive","8","1"
"175","boating","8","1"
"176","recreation","8","1"
"177","fishing","8","1"
"178","habitat","8","1"
"179","maintenance","8","1"
"180","restoration","8","1"
"181","crop","8","1"
"182","agriculture","8","1"
"183","yield","8","1"
"184","consumption","8","1"
"185","reservoir","8","1"
"186","consumed","8","1"
"187","elephant","8","1"
"188","stored","10","5"
"189","surface","10","5"
"190","release","10","5"
"191","caballo","10","1"
"192","allocation","10","5"
"193","natural","10","1"
"194","habitat","10","5"
"195","maintenance","10","1"
"196","restoration","10","5"
"197","point","10","1"
"198","river","10","5"
"199","flowed","10","1"
"200","passed","10","1"
"201","natural","10","5"
"202","reservoir","10","1"
"203","elephant","10","1"
"204","stored","11","5"
"205","surface","11","5"
"206","release","11","5"
"207","caballo","11","1"
"208","allocation","11","5"
"209","irrigation","11","5"
"210","district","11","1"
"211","project","11","1"
"212","operating","11","1"
"213","full","11","1"
"214","aquifer","11","5"
"215","pumped","11","1"
"216","mesilla","11","1"
"217","hueco","11","1"
"218","shallow","11","1"
"219","intermediate","11","1"
"220","depth","11","5"
"221","consumptive","11","1"
"222","recharge","11","1"
"223","point","11","1"
"224","river","11","1"
"225","flowed","11","1"
"226","passed","11","1"
"227","region","11","5"
"228","economic","11","1"
"229","income","11","5"
"230","generated","11","5"
"231","cost","11","5"
